id,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
4045302,"Studio apartment w/ Pvt bath, Pool",1456033,Neha,2011-11-30,"Austin, Texas, United States",within an hour,1.0,1.0,False,,1.0,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,True,,78739,Austin,TX,78734.0,Austin,"Austin, TX",US,United States,30.15196822933792,-97.85736967249024,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door""}",50.0,200.0,50.0,1,10.0,3,1125,24,54,84,84,9,2014-10-14,2015-10-28,93.0,10.0,10.0,10.0,10.0,10.0,10.0,False,strict,t,t,1,0.69
2989616,South Austin Private room2,7567467,Chalu,2013-07-18,"Austin, Texas, United States",within an hour,0.97,0.94,True,St. Johns,9.0,9.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,True,Circle C,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.18864482730461,-97.88932170078948,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",49.0,,,1,0.0,2,14,25,55,85,360,4,2015-08-15,2015-10-12,100.0,9.0,10.0,10.0,10.0,10.0,10.0,False,strict,f,f,5,1.41
2853144,South Austin Private room,7567467,Chalu,2013-07-18,"Austin, Texas, United States",within an hour,0.97,0.94,True,St. Johns,9.0,9.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,True,Circle C,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.18916284907653,-97.88786222485716,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",50.0,,,1,20.0,3,1125,29,59,89,364,7,2014-05-12,2015-07-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,False,strict,f,f,5,0.39
330710,Austin Zen Stay / Longhorn Room 10,1427814,Andrea,2011-11-21,"Austin, Texas, United States",within a few hours,1.0,1.0,True,St. Johns,12.0,12.0,"['email', 'phone', 'reviews']",t,False,St. Johns,78754,Austin,TX,78752.0,Austin,"Austin, TX",US,United States,30.328618822885176,-97.6766548649262,t,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",55.0,100.0,75.0,1,0.0,1,1825,30,60,90,365,14,2012-03-17,2015-10-13,99.0,10.0,10.0,10.0,10.0,9.0,9.0,False,strict,f,f,10,0.32
5370554,Cozy apartment in N. Austin,27839802,Sarah,2015-02-16,"Austin, Texas, United States",,,,False,Copperfield,1.0,1.0,"['email', 'phone', 'facebook', 'jumio']",t,True,Copperfield,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.37968425909236,-97.65205261008482,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",180.0,200.0,100.0,0,0.0,1,1125,0,0,0,238,0,,,,,,,,,,True,flexible,f,f,1,
6629676,Nice and quiet private guest room,34704670,Victor,2015-06-01,"Austin, Texas, United States",within an hour,1.0,0.87,False,,2.0,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.376729074806224,-97.6573084643585,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Air Conditioning"",""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",36.0,100.0,,1,10.0,1,1125,21,51,81,356,6,2015-06-07,2015-10-11,87.0,9.0,8.0,10.0,9.0,9.0,10.0,False,moderate,f,f,2,1.17
8689127,Near downtown on greenbelt!,32007715,Chris,2015-04-26,"Austin, Texas, United States",within an hour,0.8,1.0,False,,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.36685552502317,-97.6531926244074,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Gym,Breakfast,""Elevator in Building"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",125.0,100.0,25.0,1,15.0,1,1125,30,60,90,365,0,,,,,,,,,,False,strict,f,f,2,
7988725,Lovely apartment in gated community,42163493,Giancarlo,2015-08-21,"Austin, Texas, United States",within an hour,1.0,1.0,False,,1.0,1.0,"['email', 'phone']",t,False,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.38117647129497,-97.65075698832308,t,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",59.0,,,1,0.0,2,1125,0,4,4,69,0,,,,,,,,,,True,moderate,f,f,1,
5260962,Master Bed in French Country Home!,13935640,K,2014-04-05,"Austin, Texas, United States",within an hour,1.0,0.75,True,,2.0,2.0,"['email', 'phone', 'reviews', 'kba']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.335078768790503,-97.64788403506869,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Fire Extinguisher""}",49.0,100.0,20.0,2,25.0,1,1125,4,4,4,254,4,2015-03-18,2015-07-06,100.0,10.0,10.0,10.0,10.0,9.0,10.0,False,strict,f,f,2,0.51
6628321,Williamson House,33242818,Catie,2015-05-12,"Austin, Texas, United States",,,,False,,1.0,1.0,"['email', 'phone']",t,False,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.37295044177941,-97.65846978440068,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",40.0,,,1,0.0,1,1125,0,0,0,132,0,,,,,,,,,,False,flexible,f,f,1,
7451505,Private room on Walnut Creek,7960961,Grant,2015-07-20,"Austin, Texas, United States",,,,False,,1.0,1.0,"['email', 'phone', 'facebook']",t,False,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.37092794552818,-97.66301063020184,t,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,,,1,0.0,1,1125,30,60,90,365,0,,,,,,,,,,False,flexible,f,f,1,
1704476,Huge rental 10 min to everything!,5685651,Douglas,2013-03-29,"Austin, Texas, United States",,,,False,,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.3762717413604,-97.65423270701304,t,House,Private room,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",175.0,200.0,35.0,3,25.0,1,1125,30,60,90,365,0,,,,,,,,,,False,flexible,f,f,1,
